VFD vs Soft Starter Comparison - Motor Startup Simulation
Generated:,2025-10-28 08:22:36
Motor Rating:,800 HP (596.6 kW)
Load Type:,constant_torque

VFD DATA
Time (s),Speed (RPM),Current (A),Torque (Nm),Slip (%),Power In (kW),Power Out (kW),Efficiency (%)
0.000,0.0,0.0,0.0,0.00,0.00,0.00,0.0
0.030,1.6,0.0,0.0,0.00,0.00,0.00,0.0
0.060,3.2,0.0,0.0,0.00,0.00,0.00,0.0
0.090,4.8,0.0,0.0,0.00,0.00,0.00,0.0
0.120,6.4,0.0,0.0,0.00,0.00,0.00,0.0
0.150,8.0,0.0,0.0,0.00,0.00,0.00,0.0
0.180,9.6,0.0,0.0,0.00,0.00,0.00,0.0
0.210,11.2,0.0,0.0,0.00,0.00,0.00,0.0
0.240,12.8,0.0,0.0,0.00,0.00,0.00,0.0
0.270,14.4,269.7,85.5,11.12,27.51,1.13,4.1
0.300,16.0,270.0,95.0,11.13,27.44,1.26,4.6
0.330,17.6,270.2,104.5,11.14,27.38,1.38,5.1
0.360,19.2,270.5,113.9,11.16,27.31,1.51,5.5
0.390,20.8,270.8,123.4,11.17,27.25,1.64,6.0
0.420,22.4,271.2,132.9,11.18,27.19,1.77,6.5
0.450,24.0,271.5,142.3,11.19,27.13,1.90,7.0
0.480,25.6,271.9,151.8,11.20,27.07,2.03,7.5
0.511,26.2,273.4,184.7,14.33,27.13,2.09,7.7
0.541,25.2,275.8,227.5,22.36,27.27,2.00,7.3
0.571,24.2,277.0,245.0,29.38,27.28,1.92,7.0
0.601,23.2,277.5,252.5,35.63,27.24,1.84,6.7
0.631,22.2,277.7,255.9,41.25,27.16,1.76,6.5
0.661,21.3,277.8,257.8,46.35,27.08,1.68,6.2
0.691,20.3,277.9,259.1,50.98,26.99,1.60,5.9
0.721,19.4,278.0,260.5,55.23,26.90,1.53,5.7
0.751,18.4,278.1,262.0,59.12,26.81,1.45,5.4
0.781,17.5,278.3,263.8,62.70,26.73,1.37,5.1
0.811,16.5,278.4,265.9,66.00,26.64,1.30,4.9
0.841,15.6,278.6,268.2,69.06,26.56,1.22,4.6
0.871,14.7,278.8,270.8,71.89,26.48,1.15,4.3
0.901,13.8,279.0,273.6,74.52,26.40,1.08,4.1
0.931,12.9,279.2,276.7,76.96,26.33,1.01,3.8
0.961,12.0,279.5,280.0,79.24,26.25,0.93,3.6
0.991,11.1,279.7,283.4,81.37,26.18,0.86,3.3
1.021,10.2,280.0,287.0,83.36,26.11,0.79,3.0
1.051,9.3,280.3,290.7,85.22,26.04,0.73,2.8
1.081,8.5,280.6,294.6,86.96,25.97,0.66,2.5
1.111,7.6,280.9,298.5,88.59,25.90,0.59,2.3
1.141,6.8,281.2,302.6,90.13,25.83,0.52,2.0
1.171,5.9,281.6,306.8,91.57,25.76,0.46,1.8
1.201,5.1,281.9,311.1,92.92,25.69,0.39,1.5
1.231,4.3,282.3,315.4,94.20,25.63,0.33,1.3
1.261,3.5,282.7,319.9,95.40,25.56,0.27,1.1
1.291,2.7,283.1,324.4,96.53,25.50,0.21,0.8
1.321,1.9,283.5,328.9,97.60,25.43,0.15,0.6
1.351,1.1,283.9,333.5,98.61,25.37,0.09,0.3
1.381,0.4,284.3,338.2,99.56,25.31,0.03,0.1
1.411,-0.4,284.8,344.1,100.00,25.26,-0.03,-0.1
1.441,-1.1,285.5,351.1,100.00,25.21,-0.09,-0.3
1.471,-1.8,286.1,358.1,100.00,25.17,-0.14,-0.6
1.502,-2.6,286.8,365.1,100.00,25.13,-0.20,-0.8
1.532,-3.3,287.4,372.0,100.00,25.09,-0.25,-1.0
1.562,-3.9,288.1,379.0,100.00,25.04,-0.30,-1.2
1.592,-4.6,288.8,385.9,100.00,25.00,-0.35,-1.4
1.622,-5.3,289.5,392.9,100.00,24.96,-0.41,-1.6
1.652,-5.9,290.2,399.8,100.00,24.92,-0.45,-1.8
1.682,-6.5,291.0,406.7,100.00,24.88,-0.50,-2.0
1.712,-7.2,291.7,413.5,100.00,24.84,-0.55,-2.2
1.742,-7.8,292.4,420.4,100.00,24.80,-0.60,-2.4
1.772,-8.4,293.2,427.3,100.00,24.76,-0.64,-2.6
1.802,-8.9,293.9,434.1,100.00,24.72,-0.69,-2.8
1.832,-9.5,294.7,440.9,100.00,24.68,-0.73,-3.0
1.862,-10.0,295.5,447.8,100.00,24.65,-0.77,-3.1
1.892,-10.6,296.2,454.6,100.00,24.61,-0.81,-3.3
1.922,-11.1,297.0,461.4,100.00,24.57,-0.85,-3.5
1.952,-11.6,297.8,468.1,100.00,24.53,-0.89,-3.6
1.982,-12.1,298.6,474.9,100.00,24.49,-0.93,-3.8
2.012,-12.6,299.5,481.6,100.00,24.45,-0.97,-4.0
2.042,-13.1,300.3,488.4,100.00,24.41,-1.00,-4.1
2.072,-13.5,301.1,495.1,100.00,24.38,-1.04,-4.3
2.102,-14.0,301.9,501.8,100.00,24.34,-1.07,-4.4
2.132,-14.4,302.8,508.5,100.00,24.30,-1.11,-4.6
2.162,-14.8,303.6,515.2,100.00,24.26,-1.14,-4.7
2.192,-15.2,304.5,521.9,100.00,24.22,-1.17,-4.8
2.222,-15.6,305.4,528.5,100.00,24.18,-1.20,-5.0
2.252,-16.0,306.2,535.2,100.00,24.15,-1.23,-5.1
2.282,-16.4,307.1,541.8,100.00,24.11,-1.26,-5.2
2.312,-16.7,308.0,548.4,100.00,24.07,-1.29,-5.3
2.342,-17.1,308.9,555.0,100.00,24.03,-1.31,-5.5
2.372,-17.4,309.8,561.6,100.00,23.99,-1.34,-5.6
2.402,-17.7,310.7,568.2,100.00,23.95,-1.36,-5.7
2.432,-18.0,311.6,574.8,100.00,23.91,-1.38,-5.8
2.462,-18.3,312.5,581.3,100.00,23.87,-1.41,-5.9
2.492,-18.6,313.4,587.8,100.00,23.83,-1.43,-6.0
2.523,-18.9,314.3,594.4,100.00,23.79,-1.45,-6.1
2.553,-19.1,315.3,600.9,100.00,23.75,-1.47,-6.2
2.583,-19.3,316.2,607.4,100.00,23.71,-1.49,-6.3
2.613,-19.6,317.2,613.9,100.00,23.67,-1.50,-6.4
2.643,-19.8,318.1,620.3,100.00,23.63,-1.52,-6.4
2.673,-20.0,319.1,626.8,100.00,23.59,-1.54,-6.5
2.703,-20.2,320.0,633.2,100.00,23.55,-1.55,-6.6
2.733,-20.4,321.0,639.7,100.00,23.51,-1.57,-6.7
2.763,-20.5,321.9,646.1,100.00,23.47,-1.58,-6.7
2.793,-20.7,322.9,652.5,100.00,23.42,-1.59,-6.8
2.823,-20.8,323.9,658.9,100.00,23.38,-1.60,-6.8
2.853,-21.0,324.9,665.3,100.00,23.34,-1.61,-6.9
2.883,-21.1,325.9,671.6,100.00,23.29,-1.62,-7.0
2.913,-21.2,326.8,678.0,100.00,23.25,-1.63,-7.0
2.943,-21.3,327.8,684.3,100.00,23.20,-1.63,-7.0
2.973,-21.3,328.8,690.6,100.00,23.16,-1.64,-7.1
3.003,-21.4,329.8,696.9,100.00,23.15,-1.65,-7.1
3.033,-21.5,330.8,703.2,100.00,23.45,-1.65,-7.0
3.063,-21.5,331.9,709.5,100.00,23.76,-1.65,-7.0
3.093,-21.6,332.9,715.8,100.00,24.06,-1.66,-6.9
3.123,-21.6,333.9,722.1,100.00,24.37,-1.66,-6.8
3.153,-21.6,334.9,728.3,100.00,24.68,-1.66,-6.7
3.183,-21.6,335.9,734.5,100.00,24.99,-1.66,-6.6
3.213,-21.6,337.0,740.8,100.00,25.30,-1.66,-6.6
3.243,-21.5,338.0,747.0,100.00,25.62,-1.66,-6.5
3.273,-21.5,339.0,753.2,100.00,25.94,-1.65,-6.4
3.303,-21.4,340.1,759.3,100.00,26.25,-1.65,-6.3
3.333,-21.4,341.1,765.5,100.00,26.57,-1.64,-6.2
3.363,-21.3,342.1,771.6,100.00,26.89,-1.64,-6.1
3.393,-21.2,343.2,777.8,100.00,27.22,-1.63,-6.0
3.423,-21.1,344.2,783.9,100.00,27.54,-1.62,-5.9
3.453,-21.0,345.3,790.0,100.00,27.87,-1.62,-5.8
3.483,-20.9,346.3,796.1,100.00,28.20,-1.61,-5.7
3.514,-20.8,347.4,802.2,100.00,28.53,-1.60,-5.6
3.544,-20.6,348.5,808.3,100.00,28.86,-1.58,-5.5
3.574,-20.5,349.5,814.3,100.00,29.19,-1.57,-5.4
3.604,-20.3,350.6,820.4,100.00,29.53,-1.56,-5.3
3.634,-20.1,351.6,826.4,100.00,29.86,-1.55,-5.2
3.664,-19.9,352.7,832.4,100.00,30.20,-1.53,-5.1
3.694,-19.7,353.8,838.4,100.00,30.54,-1.52,-5.0
3.724,-19.5,354.9,844.4,100.00,30.88,-1.50,-4.9
3.754,-19.3,355.9,850.4,100.00,31.23,-1.48,-4.7
3.784,-19.0,357.0,856.4,100.00,31.57,-1.46,-4.6
3.814,-18.8,358.1,862.3,100.00,31.92,-1.45,-4.5
3.844,-18.5,359.2,868.3,100.00,32.27,-1.43,-4.4
3.874,-18.3,360.3,874.2,100.00,32.62,-1.40,-4.3
3.904,-18.0,361.3,880.1,100.00,32.97,-1.38,-4.2
3.934,-17.7,362.4,886.0,100.00,33.32,-1.36,-4.1
3.964,-17.4,363.5,891.9,100.00,33.68,-1.34,-4.0
3.994,-17.1,364.6,897.8,100.00,34.03,-1.31,-3.9
4.024,-16.8,365.7,903.6,100.00,34.39,-1.29,-3.7
4.054,-16.4,366.8,909.5,100.00,34.75,-1.26,-3.6
4.084,-16.1,367.9,915.3,100.00,35.11,-1.24,-3.5
4.114,-15.7,369.0,921.1,100.00,35.48,-1.21,-3.4
4.144,-15.3,370.1,926.9,100.00,35.84,-1.18,-3.3
4.174,-15.0,371.1,932.7,100.00,36.21,-1.15,-3.2
4.204,-14.6,372.2,938.5,100.00,36.58,-1.12,-3.1
4.234,-14.2,373.3,944.3,100.00,36.95,-1.09,-2.9
4.264,-13.8,374.4,950.0,100.00,37.32,-1.06,-2.8
4.294,-13.3,375.5,955.8,100.00,37.69,-1.03,-2.7
4.324,-12.9,376.6,961.5,100.00,38.06,-0.99,-2.6
4.354,-12.5,377.7,967.2,100.00,38.44,-0.96,-2.5
4.384,-12.0,378.8,972.9,100.00,38.82,-0.92,-2.4
4.414,-11.5,379.9,978.6,100.00,39.20,-0.89,-2.3
4.444,-11.1,381.0,984.3,100.00,39.58,-0.85,-2.1
4.474,-10.6,382.1,989.9,100.00,39.96,-0.81,-2.0
4.505,-10.1,383.3,995.7,100.00,40.35,-0.77,-1.9
4.535,-9.6,384.6,1002.4,100.00,40.76,-0.73,-1.8
4.565,-9.0,385.9,1009.0,100.00,41.17,-0.69,-1.7
4.595,-8.5,387.2,1015.6,100.00,41.58,-0.65,-1.6
4.625,-8.0,388.5,1022.3,100.00,41.99,-0.61,-1.5
4.655,-7.4,389.8,1028.9,100.00,42.41,-0.57,-1.3
4.685,-6.8,391.2,1035.6,100.00,42.83,-0.52,-1.2
4.715,-6.2,392.5,1042.2,100.00,43.25,-0.48,-1.1
4.745,-5.6,393.8,1048.8,100.00,43.67,-0.43,-1.0
4.775,-5.0,395.1,1055.5,100.00,44.09,-0.39,-0.9
4.805,-4.4,396.5,1062.1,100.00,44.52,-0.34,-0.8
4.835,-3.8,397.8,1068.8,100.00,44.95,-0.29,-0.6
4.865,-3.1,399.2,1075.4,100.00,45.38,-0.24,-0.5
4.895,-2.5,400.5,1082.0,100.00,45.82,-0.19,-0.4
4.925,-1.8,401.9,1088.7,100.00,46.26,-0.14,-0.3
4.955,-1.1,403.2,1095.3,100.00,46.70,-0.08,-0.2
4.985,-0.4,404.6,1101.9,100.00,47.14,-0.03,-0.1
5.015,0.3,406.1,1109.4,99.90,47.60,0.02,0.0
5.045,1.0,407.9,1118.1,99.66,48.10,0.08,0.2
5.075,1.8,409.7,1126.7,99.42,48.60,0.14,0.3
5.105,2.5,411.5,1135.5,99.18,49.10,0.19,0.4
5.135,3.3,413.3,1144.3,98.93,49.61,0.25,0.5
5.165,4.1,415.2,1153.1,98.69,50.12,0.31,0.6
5.195,4.9,417.1,1162.0,98.44,50.64,0.38,0.7
5.225,5.7,418.9,1170.9,98.19,51.16,0.44,0.9
5.255,6.5,420.8,1179.9,97.93,51.69,0.51,1.0
5.285,7.4,422.7,1188.9,97.68,52.22,0.57,1.1
5.315,8.2,424.7,1198.0,97.42,52.75,0.64,1.2
5.345,9.1,426.6,1207.2,97.16,53.30,0.71,1.3
5.375,10.0,428.6,1216.3,96.90,53.84,0.78,1.4
5.405,10.9,430.6,1225.6,96.64,54.39,0.85,1.6
5.435,11.8,432.6,1234.9,96.37,54.95,0.92,1.7
5.465,12.8,434.6,1244.2,96.11,55.51,1.00,1.8
5.495,13.7,436.6,1253.7,95.84,56.08,1.07,1.9
5.526,14.7,438.7,1263.1,95.57,56.65,1.15,2.0
5.556,15.7,440.7,1272.6,95.30,57.22,1.23,2.1
5.586,16.7,442.8,1282.2,95.02,57.80,1.31,2.3
5.616,17.7,444.9,1291.8,94.75,58.39,1.39,2.4
5.646,18.7,447.0,1301.5,94.47,58.98,1.47,2.5
5.676,19.8,449.2,1311.3,94.19,59.58,1.56,2.6
5.706,20.9,451.3,1321.1,93.91,60.19,1.65,2.7
5.736,21.9,453.5,1331.0,93.63,60.79,1.73,2.9
5.766,23.0,455.7,1340.9,93.34,61.41,1.82,3.0
5.796,24.2,457.9,1350.9,93.05,62.03,1.91,3.1
5.826,25.3,460.2,1361.0,92.77,62.66,2.01,3.2
5.856,26.4,462.4,1371.1,92.48,63.29,2.10,3.3
5.886,27.6,464.7,1381.2,92.18,63.93,2.20,3.4
5.916,28.8,467.0,1391.5,91.89,64.57,2.30,3.6
5.946,30.0,469.3,1401.8,91.59,65.22,2.40,3.7
5.976,31.2,471.7,1412.2,91.30,65.87,2.50,3.8
6.006,32.4,474.0,1422.6,91.00,66.54,2.60,3.9
6.036,33.7,476.4,1433.1,90.70,67.21,2.70,4.0
6.066,35.0,478.8,1443.7,90.39,67.88,2.81,4.1
6.096,36.3,481.2,1454.3,90.09,68.56,2.92,4.3
6.126,37.6,483.7,1465.1,89.78,69.25,3.03,4.4
6.156,38.9,486.1,1475.8,89.47,69.94,3.14,4.5
6.186,40.2,488.6,1486.7,89.16,70.64,3.25,4.6
6.216,41.6,491.1,1497.6,88.85,71.35,3.37,4.7
6.246,43.0,493.7,1508.6,88.54,72.06,3.49,4.8
6.276,44.4,496.2,1519.7,88.22,72.79,3.61,5.0
6.306,45.8,498.8,1530.9,87.90,73.51,3.73,5.1
6.336,47.2,501.4,1542.1,87.59,74.25,3.85,5.2
6.366,48.6,504.0,1553.4,87.26,74.99,3.98,5.3
6.396,50.1,506.6,1564.8,86.94,75.74,4.10,5.4
6.426,51.6,509.3,1576.2,86.62,76.50,4.23,5.5
6.456,53.1,512.0,1587.8,86.29,77.26,4.36,5.6
6.486,54.6,514.7,1599.4,85.96,78.03,4.50,5.8
6.517,56.2,517.5,1611.1,85.63,78.81,4.63,5.9
6.547,57.7,520.2,1622.9,85.30,79.60,4.77,6.0
6.577,59.3,523.0,1634.7,84.97,80.39,4.91,6.1
6.607,60.9,525.8,1646.7,84.63,81.19,5.05,6.2
6.637,62.5,528.7,1658.7,84.30,82.00,5.20,6.3
6.667,64.2,531.6,1670.8,83.96,82.82,5.34,6.5
6.697,65.8,534.5,1683.0,83.62,83.65,5.49,6.6
6.727,67.5,537.4,1695.3,83.27,84.48,5.64,6.7
6.757,69.2,540.3,1707.7,82.93,85.32,5.80,6.8
6.787,70.9,543.3,1720.2,82.58,86.18,5.95,6.9
6.817,72.7,546.3,1732.8,82.24,87.03,6.11,7.0
6.847,74.4,549.3,1745.5,81.89,87.90,6.27,7.1
6.877,76.2,552.4,1758.2,81.53,88.78,6.44,7.2
6.907,78.0,555.5,1771.1,81.18,89.67,6.60,7.4
6.937,79.8,558.6,1784.0,80.82,90.56,6.77,7.5
6.967,81.7,561.7,1797.1,80.47,91.46,6.94,7.6
6.997,83.5,564.9,1810.2,80.11,92.38,7.12,7.7
7.027,85.4,568.1,1823.5,79.75,93.30,7.29,7.8
7.057,87.3,571.3,1836.9,79.38,94.23,7.47,7.9
7.087,89.2,574.6,1850.3,79.02,95.17,7.65,8.0
7.117,91.2,577.9,1863.9,78.65,96.13,7.84,8.2
7.147,93.1,581.2,1877.6,78.28,97.09,8.02,8.3
7.177,95.1,584.6,1891.3,77.91,98.06,8.22,8.4
7.207,97.1,588.0,1905.2,77.54,99.04,8.41,8.5
7.237,99.2,591.4,1919.2,77.16,100.03,8.60,8.6
7.267,101.2,594.9,1933.4,76.78,101.03,8.80,8.7
7.297,103.3,598.3,1947.6,76.40,102.05,9.01,8.8
7.327,105.4,601.9,1961.9,76.02,103.07,9.21,8.9
7.357,107.5,605.4,1976.4,75.64,104.10,9.42,9.0
7.387,109.7,609.0,1991.0,75.25,105.15,9.63,9.2
7.417,111.9,612.6,2005.7,74.87,106.20,9.85,9.3
7.447,114.1,616.3,2020.5,74.48,107.27,10.06,9.4
7.477,116.3,620.0,2035.5,74.08,108.35,10.29,9.5
7.508,118.5,623.7,2050.6,73.69,109.44,10.51,9.6
7.538,120.8,627.5,2065.8,73.29,110.54,10.74,9.7
7.568,123.1,631.3,2081.1,72.90,111.65,10.97,9.8
7.598,125.4,635.1,2096.6,72.49,112.78,11.21,9.9
7.628,127.7,639.0,2112.2,72.09,113.92,11.44,10.0
7.658,130.1,642.9,2127.9,71.69,115.07,11.69,10.2
7.688,132.5,646.9,2143.8,71.28,116.23,11.93,10.3
7.718,134.9,650.9,2159.8,70.87,117.41,12.18,10.4
7.748,137.3,654.9,2175.9,70.46,118.59,12.44,10.5
7.778,139.8,659.0,2192.2,70.04,119.80,12.69,10.6
7.808,142.3,663.2,2208.6,69.63,121.01,12.96,10.7
7.838,144.8,667.3,2225.2,69.21,122.24,13.22,10.8
7.868,147.3,671.5,2241.9,68.79,123.48,13.49,10.9
7.898,149.9,675.8,2258.8,68.37,124.73,13.76,11.0
7.928,152.5,680.1,2275.8,67.94,126.00,14.04,11.1
7.958,155.1,684.4,2293.0,67.51,127.29,14.32,11.3
7.988,157.8,688.8,2310.4,67.08,128.59,14.61,11.4
8.018,160.5,693.2,2327.9,66.65,129.90,14.90,11.5
8.048,163.2,697.7,2345.5,66.21,131.23,15.20,11.6
8.078,165.9,702.2,2363.3,65.77,132.57,15.50,11.7
8.108,168.7,706.7,2381.3,65.33,133.92,15.80,11.8
8.138,171.4,711.3,2399.4,64.89,135.30,16.11,11.9
8.168,174.3,716.0,2417.7,64.44,136.68,16.42,12.0
8.198,177.1,720.7,2436.2,64.00,138.09,16.74,12.1
8.228,180.0,725.5,2454.9,63.54,139.51,17.06,12.2
8.258,182.9,730.3,2473.7,63.09,140.94,17.39,12.3
8.288,185.8,735.1,2492.7,62.63,142.40,17.73,12.4
8.318,188.8,740.0,2511.8,62.18,143.86,18.06,12.6
8.348,191.8,745.0,2531.2,61.71,145.35,18.41,12.7
8.378,194.8,750.0,2550.7,61.25,146.85,18.76,12.8
8.408,197.9,755.0,2570.4,60.78,148.37,19.11,12.9
8.438,200.9,760.1,2590.3,60.31,149.91,19.47,13.0
8.468,204.1,765.3,2610.3,59.84,151.46,19.84,13.1
8.498,207.2,770.5,2630.6,59.36,153.03,20.21,13.2
8.529,210.4,775.7,2651.0,58.88,154.62,20.59,13.3
8.559,213.6,781.0,2671.7,58.40,156.23,20.97,13.4
8.589,216.9,786.4,2692.5,57.92,157.85,21.36,13.5
8.619,220.1,791.8,2713.5,57.43,159.50,21.75,13.6
8.649,223.4,797.3,2734.6,56.94,161.16,22.15,13.7
8.679,226.8,802.8,2756.0,56.45,162.84,22.56,13.9
8.709,230.2,808.4,2777.6,55.95,164.54,22.97,14.0
8.739,233.6,814.0,2799.3,55.45,166.26,23.39,14.1
8.769,237.0,819.7,2821.3,54.95,167.99,23.82,14.2
8.799,240.5,825.5,2843.4,54.44,169.75,24.25,14.3
8.829,244.0,831.3,2865.7,53.93,171.52,24.69,14.4
8.859,247.6,837.1,2888.2,53.42,173.32,25.14,14.5
8.889,251.2,843.0,2910.9,52.91,175.13,25.60,14.6
8.919,254.8,849.0,2933.7,52.39,176.96,26.06,14.7
8.949,258.4,855.0,2956.8,51.87,178.81,26.52,14.8
8.979,262.1,861.0,2980.0,51.34,180.68,27.00,14.9
9.009,265.9,867.1,3003.4,50.81,182.57,27.48,15.1
9.039,269.6,873.3,3026.9,50.28,184.48,27.97,15.2
9.069,273.4,879.5,3050.6,49.75,186.41,28.47,15.3
9.099,277.3,885.7,3074.5,49.21,188.35,28.98,15.4
9.129,281.2,892.0,3098.5,48.67,190.31,29.49,15.5
9.159,285.1,898.3,3122.7,48.13,192.29,30.01,15.6
9.189,289.0,904.7,3147.0,47.58,194.29,30.54,15.7
9.219,293.0,911.1,3171.4,47.03,196.30,31.08,15.8
9.249,297.0,917.5,3195.9,46.47,198.33,31.63,15.9
9.279,301.1,924.0,3220.5,45.92,200.38,32.18,16.1
9.309,305.2,930.5,3245.3,45.36,202.44,32.75,16.2
9.339,309.4,937.0,3270.1,44.79,204.52,33.32,16.3
9.369,313.5,943.5,3294.9,44.23,206.61,33.90,16.4
9.399,317.8,950.1,3319.8,43.66,208.71,34.49,16.5
9.429,322.0,956.6,3344.7,43.08,210.82,35.09,16.6
9.459,326.3,963.2,3369.6,42.51,212.94,35.70,16.8
9.489,330.6,969.8,3394.5,41.93,215.08,36.31,16.9
9.520,335.0,976.3,3419.4,41.35,217.22,36.94,17.0
9.550,339.4,982.9,3444.1,40.76,219.36,37.57,17.1
9.580,343.9,989.4,3468.8,40.17,221.51,38.22,17.3
9.610,348.3,995.9,3493.3,39.58,223.66,38.87,17.4
9.640,352.9,1002.3,3517.7,38.99,225.81,39.54,17.5
9.670,357.4,1008.7,3541.8,38.39,227.96,40.21,17.6
9.700,362.0,1015.0,3565.7,37.80,230.10,40.89,17.8
9.730,366.6,1021.3,3589.3,37.20,232.23,41.58,17.9
9.760,371.3,1027.4,3612.6,36.59,234.35,42.28,18.0
9.790,376.0,1033.5,3635.5,35.99,236.46,42.99,18.2
9.820,380.7,1039.4,3657.9,35.38,238.55,43.71,18.3
9.850,385.5,1045.2,3679.8,34.77,240.62,44.44,18.5
9.880,390.3,1050.9,3701.1,34.16,242.66,45.18,18.6
9.910,395.1,1056.4,3721.9,33.55,244.67,45.93,18.8
9.940,399.9,1061.7,3741.9,32.94,246.65,46.69,18.9
9.970,404.8,1066.8,3761.1,32.33,248.58,47.45,19.1
10.000,409.7,1071.7,3779.5,31.71,250.47,48.23,19.3
10.030,414.6,1076.4,3797.0,31.10,252.31,49.01,19.4
10.060,419.6,1080.7,3813.4,30.49,254.10,49.80,19.6
10.090,424.6,1084.8,3828.8,29.87,255.82,50.60,19.8
10.120,429.5,1088.6,3843.0,29.26,257.47,51.41,20.0
10.150,434.5,1092.0,3855.9,28.65,259.05,52.22,20.2
10.180,439.5,1095.1,3867.4,28.04,260.55,53.04,20.4
10.210,444.6,1097.8,3877.5,27.43,261.96,53.87,20.6
10.240,449.6,1100.1,3886.0,26.83,263.27,54.71,20.8
10.270,454.6,1101.9,3892.9,26.22,264.48,55.55,21.0
10.300,459.7,1103.3,3898.1,25.63,265.59,56.39,21.2
10.330,464.7,1104.2,3901.5,25.03,266.58,57.24,21.5
10.360,469.7,1104.6,3903.0,24.44,267.45,58.09,21.7
10.390,474.7,1104.4,3902.5,23.85,268.20,58.95,22.0
10.420,479.7,1103.8,3900.0,23.28,268.81,59.81,22.2
10.450,484.7,1102.6,3895.5,22.70,269.29,60.67,22.5
10.480,489.6,1100.8,3888.8,22.13,269.63,61.53,22.8
10.511,494.6,1098.4,3879.9,21.58,269.82,62.40,23.1
10.541,499.5,1095.5,3868.9,21.02,269.87,63.26,23.4
10.571,504.3,1092.0,3855.7,20.48,269.77,64.12,23.8
10.601,509.2,1087.9,3840.3,19.95,269.52,64.98,24.1
10.631,514.0,1083.2,3822.7,19.42,269.12,65.83,24.5
10.661,518.7,1078.0,3803.1,18.91,268.58,66.69,24.8
10.691,523.4,1072.2,3781.3,18.41,267.89,67.53,25.2
10.721,528.0,1065.9,3757.6,17.91,267.07,68.38,25.6
10.751,532.6,1059.1,3732.0,17.43,266.11,69.21,26.0
10.781,537.1,1051.8,3704.7,16.96,265.02,70.04,26.4
10.811,541.6,1044.1,3675.7,16.51,263.82,70.86,26.9
10.841,546.0,1036.0,3645.1,16.06,262.50,71.67,27.3
10.871,550.3,1027.6,3613.2,15.63,261.08,72.48,27.8
10.901,554.5,1018.8,3580.1,15.22,259.56,73.27,28.2
10.931,558.7,1009.8,3545.9,14.81,257.97,74.06,28.7
10.961,562.8,1000.5,3510.9,14.42,256.30,74.83,29.2
10.991,566.8,991.1,3475.2,14.05,254.58,75.59,29.7
11.021,570.8,981.5,3438.9,13.69,252.80,76.34,30.2
11.051,574.6,971.8,3402.3,13.34,251.00,77.08,30.7
11.081,578.4,962.1,3365.5,13.00,249.16,77.81,31.2
11.111,582.1,952.4,3328.6,12.68,247.32,78.52,31.7
11.141,585.7,942.7,3291.9,12.38,245.47,79.22,32.3
11.171,589.3,933.2,3255.5,12.08,243.63,79.91,32.8
11.201,592.8,923.7,3219.5,11.80,241.81,80.59,33.3
11.231,596.2,914.4,3184.1,11.53,240.02,81.25,33.9
11.261,599.5,905.3,3149.3,11.28,238.26,81.90,34.4
11.291,602.7,896.4,3115.2,11.03,236.54,82.54,34.9
11.321,605.9,887.7,3082.1,10.80,234.87,83.17,35.4
11.351,609.0,879.2,3049.8,10.58,233.26,83.78,35.9
11.381,612.1,871.1,3018.6,10.37,231.70,84.39,36.4
11.411,615.0,863.2,2988.4,10.17,230.21,84.98,36.9
11.441,618.0,855.6,2959.3,9.98,228.79,85.56,37.4
11.471,620.8,848.3,2931.3,9.80,227.44,86.13,37.9
11.502,623.6,841.3,2904.4,9.63,226.15,86.69,38.3
11.532,626.3,834.7,2878.7,9.47,224.94,87.25,38.8
11.562,629.0,828.3,2854.2,9.32,223.81,87.79,39.2
11.592,631.7,822.2,2830.8,9.18,222.75,88.32,39.7
11.622,634.2,816.5,2808.6,9.04,221.76,88.84,40.1
11.652,636.8,811.0,2787.5,8.92,220.84,89.36,40.5
11.682,639.3,805.8,2767.6,8.79,220.00,89.87,40.8
11.712,641.7,800.9,2748.7,8.68,219.23,90.37,41.2
11.742,644.1,796.3,2730.9,8.57,218.53,90.86,41.6
11.772,646.5,792.0,2714.1,8.47,217.90,91.35,41.9
11.802,648.8,787.9,2698.3,8.37,217.33,91.83,42.3
11.832,651.1,784.1,2683.5,8.28,216.82,92.30,42.6
11.862,653.4,780.5,2669.6,8.20,216.38,92.77,42.9
11.892,655.6,777.2,2656.7,8.11,216.00,93.24,43.2
11.922,657.8,774.1,2644.5,8.04,215.68,93.69,43.4
11.952,660.0,771.2,2633.2,7.96,215.41,94.15,43.7
11.982,662.2,768.4,2622.7,7.90,215.19,94.60,44.0
12.012,664.3,765.9,2612.9,7.83,215.02,95.04,44.2
12.042,666.4,763.6,2603.8,7.77,214.90,95.48,44.4
12.072,668.5,761.4,2595.4,7.71,214.83,95.92,44.6
12.102,670.5,759.4,2587.7,7.66,214.80,96.36,44.9
12.132,672.6,757.6,2580.5,7.60,214.81,96.79,45.1
12.162,674.6,755.9,2573.9,7.55,214.87,97.22,45.2
12.192,676.6,754.4,2567.9,7.51,214.95,97.64,45.4
12.222,678.6,752.9,2562.4,7.46,215.08,98.06,45.6
12.252,680.6,751.7,2557.3,7.42,215.24,98.48,45.8
12.282,682.6,750.5,2552.7,7.38,215.42,98.90,45.9
12.312,684.5,749.4,2548.5,7.34,215.64,99.32,46.1
12.342,686.5,748.4,2544.8,7.30,215.89,99.73,46.2
